epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,121.162,0.96244,0.78077,0.97948,0.74161,0.80355,0.81914,0.64153,0.88422,0.79721,0.96779,0.000848969,0.000848969,0.000848969
43,124.038,0.91131,0.73639,0.96053,0.77801,0.77658,0.83281,0.652,0.88356,0.80797,0.97446,0.000834822,0.000834822,0.000834822
44,126.895,0.93908,0.77514,0.96272,0.78171,0.7789,0.81819,0.63527,0.89299,0.82581,0.98214,0.000820675,0.000820675,0.000820675
45,129.702,0.94656,0.75956,0.9663,0.80863,0.72426,0.7955,0.62511,0.8751,0.86141,0.96313,0.000806528,0.000806528,0.000806528
46,132.525,0.93454,0.75494,0.96689,0.7456,0.77586,0.81133,0.62532,0.89242,0.81831,0.96896,0.00079238,0.00079238,0.00079238
47,135.343,0.93544,0.73317,0.9636,0.80338,0.76719,0.83512,0.65834,0.87204,0.76702,0.9613,0.000778233,0.000778233,0.000778233
48,138.2,0.924,0.73133,0.94979,0.78181,0.74852,0.81314,0.63055,0.88163,0.81309,0.97228,0.000764086,0.000764086,0.000764086
49,141.057,0.90082,0.70824,0.95262,0.75963,0.74687,0.7871,0.61979,0.85732,0.79684,0.96605,0.000749939,0.000749939,0.000749939
50,143.901,0.91904,0.71756,0.95809,0.77468,0.73533,0.79351,0.61403,0.87821,0.80653,0.96816,0.000735792,0.000735792,0.000735792
51,146.7,0.89751,0.70596,0.94713,0.77197,0.776,0.83244,0.65485,0.86722,0.76516,0.95795,0.000721645,0.000721645,0.000721645
52,149.546,0.91557,0.72467,0.95669,0.79057,0.72961,0.81152,0.63387,0.86951,0.79842,0.96799,0.000707498,0.000707498,0.000707498
53,152.372,0.9122,0.71295,0.95283,0.74461,0.72884,0.7618,0.59238,0.87895,0.84752,0.97328,0.000693351,0.000693351,0.000693351
54,155.198,0.88661,0.70013,0.94246,0.79076,0.75768,0.79514,0.62711,0.8484,0.79573,0.96172,0.000679204,0.000679204,0.000679204
